code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t;energy_100g;fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g
1151;http://world-fr.openfoodfacts.org/produit/1151/mini-crepes-chocolait-bijou;Mini Crêpes ChocoLait;Bijou;Correspondance;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Crêpes et galettes,Biscuits au chocolat,Crêpes,Biscuits au chocolat au lait,Crêpes au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/1151/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/1151/front_fr.8.200.jpg;1480582546;2018.0;18.0;72.0;48.0;1.7;6.7;0.2
1664;http://world-fr.openfoodfacts.org/produit/1664/brins-de-chococaramel-bijou;Brins de ChocoCaramel;Bijou;Correspondance;e;Biscuits au chocolat au lait,Biscuits et gâteaux,Biscuits au caramel;Biscuits;France;https://static.openfoodfacts.org/images/products/1664/front_fr.10.400.jpg;https://static.openfoodfacts.org/images/products/1664/front_fr.10.200.jpg;1480625309;1960.0;16.0;75.0;50.0;1.0;5.0;0.28
744485;http://world-fr.openfoodfacts.org/produit/744485/custard-creams-simply-ms;Custard creams;simply MS;;e;Biscuits-fourres,Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/744485/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/744485/front_fr.8.200.jpg;1461437710;2037.0;20.8;68.6;28.4;2.0;5.0;0.45000000000000107
00099233;http://world-fr.openfoodfacts.org/produit/00099233/cheese-twists-marks-spencer;Cheese Twists;Marks & Spencer;Marks & Spencer;e;Snacks sucrés,Biscuits et gâteaux,Snacks salés,Apéritif,Biscuits,Biscuits apéritifs,Biscuits feuilletés;Biscuits;France;https://static.openfoodfacts.org/images/products/00099233/front_fr.9.400.jpg;https://static.openfoodfacts.org/images/products/00099233/front_fr.9.200.jpg;1497902705;2155.0;28.7;50.5;2.6;3.3;12.1;1.85
00156738;http://world-fr.openfoodfacts.org/produit/00156738/milk-chocolate-orange-biscuits-marks-spencer;Milk Chocolate Orange Biscuits;Marks & Spencer;Marks & Spencer;e;Biscuits au chocolat au lait;Biscuits;France;https://static.openfoodfacts.org/images/products/00156738/front_fr.4.400.jpg;https://static.openfoodfacts.org/images/products/00156738/front_fr.4.200.jpg;1509041692;2142.0;25.7;62.3;48.9;2.5;6.5;0.28
00379953;http://world-fr.openfoodfacts.org/produit/00379953/biscuits-avec-morceaux-d-amandes-marks-spencer;Biscuits avec morceaux d'amandes;Marks & Spencer;;e;Biscuits secs;Biscuits;France;https://static.openfoodfacts.org/images/products/00379953/front_fr.6.400.jpg;https://static.openfoodfacts.org/images/products/00379953/front_fr.6.200.jpg;1521182483;2142.0;26.4;60.5;19.8;2.3;6.9;0.4
0039047001138;http://world-fr.openfoodfacts.org/produit/0039047001138/shortbread-fingers-160g-walkers;Shortbread Fingers 160g;Walkers;M&S;e;en:Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/003/904/700/1138/front_fr.52.400.jpg;https://static.openfoodfacts.org/images/products/003/904/700/1138/front_fr.52.200.jpg;1525597141;2230.0;30.3;58.4;16.2;2.1;5.6;0.7
0039047010215;http://world-fr.openfoodfacts.org/produit/0039047010215/chocolate-chip-shortbread-walkers;Chocolaté chip shortbread;Walkers;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits sans gluten,Biscuits sablés;Biscuits;France;https://static.openfoodfacts.org/images/products/003/904/701/0215/front_fr.19.400.jpg;https://static.openfoodfacts.org/images/products/003/904/701/0215/front_fr.19.200.jpg;1525761496;2159.0;27.1;63.5;28.3;1.5;3.7;0.6
0039047011496;http://world-fr.openfoodfacts.org/produit/0039047011496/pure-butter-chocolate-chip-shortbread-walkers;Pure Butter Chocolate Chip Shortbread;Walkers;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/003/904/701/1496/front_fr.9.400.jpg;https://static.openfoodfacts.org/images/products/003/904/701/1496/front_fr.9.200.jpg;1446034301;2168.0;27.6;61.3;25.7;2.0;5.2;0.7
0039047014909;http://world-fr.openfoodfacts.org/produit/0039047014909/pure-butter-chocolate-chip-shortbread-33-free-walkers;Pure butter Chocolate Chip Shortbread (+33% free);Walkers;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/003/904/701/4909/front_fr.5.400.jpg;https://static.openfoodfacts.org/images/products/003/904/701/4909/front_fr.5.200.jpg;1495200393;2167.0;27.6;61.3;25.7;2.0;5.2;0.699999999999999
0039047153547;http://world-fr.openfoodfacts.org/produit/0039047153547/biscuits-a-l-avoine-aux-myrtilles-et-a-la-vanille-weight-watchers;Biscuits à l'avoine aux myrtilles et à la vanille;Weight Watchers;;b;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/003/904/715/3547/front_fr.5.400.jpg;https://static.openfoodfacts.org/images/products/003/904/715/3547/front_fr.5.200.jpg;1520107556;1881.0;17.2;60.5;18.8;10.9;7.6;0.1
0044936322768;http://world-fr.openfoodfacts.org/produit/0044936322768/all-butter-honey-oat-biscuits-crabtree-evelyn;All Butter Honey & Oat Biscuits;Crabtree & Evelyn;;e;Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/004/493/632/2768/front_fr.4.400.jpg;https://static.openfoodfacts.org/images/products/004/493/632/2768/front_fr.4.200.jpg;1517766784;2088.0;25.0;61.0;27.0;;6.3;0.56
0058089005058;http://world-fr.openfoodfacts.org/produit/0058089005058/biscuits-feuille-d-erable-erabliere-du-moulin;Biscuits Feuille d'Érable;Érabliere du Moulin;;e;Biscuits secs;Biscuits;France;https://static.openfoodfacts.org/images/products/005/808/900/5058/front_fr.4.400.jpg;https://static.openfoodfacts.org/images/products/005/808/900/5058/front_fr.4.200.jpg;1506633009;2092.0;19.8;74.5;46.0;1.1;3.2;0.4064
0061232203072;http://world-fr.openfoodfacts.org/produit/0061232203072/nairns-rough-oatcake;Nairns Rough Oatcake;Nairns;Co-operative,Sainsbury's;c;Biscuits,Crackers;Biscuits;France;;;1521139727;1824.0;17.0;55.6;0.8;8.0;10.3;1.47
0064100256613;http://world-fr.openfoodfacts.org/produit/0064100256613/pop-tarts-frosted-chocolate-fudge;Pop Tarts Frosted Chocolate Fudge;;;d;Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/006/410/025/6613/front_fr.4.400.jpg;https://static.openfoodfacts.org/images/products/006/410/025/6613/front_fr.4.200.jpg;1521975121;1674.0;10.0;72.0;38.0;;6.0;0.44
0065928001003;http://world-fr.openfoodfacts.org/produit/0065928001003/mini-biscuits-a-l-erable-turkey-hill;Mini-Biscuits à l'Érable;Turkey Hill;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au sirop d'Erable;Biscuits;France;https://static.openfoodfacts.org/images/products/006/592/800/1003/front_fr.13.400.jpg;https://static.openfoodfacts.org/images/products/006/592/800/1003/front_fr.13.200.jpg;1499858270;1980.0;15.8;73.7;19.3;1.75;5.26;2.63
0066721005700;http://world-fr.openfoodfacts.org/produit/0066721005700/the-original-oreo-christie;The Original Oreo;Christie;;d;Chocolate biscuits;Biscuits;France;;;1525464529;2000.0;19.6;73.9;39.1;0.0;4.35;0.1905
0072417152924;http://world-fr.openfoodfacts.org/produit/0072417152924/finger-cadbury;Finger;Cadbury;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits au chocolat au lait;Biscuits;France;https://static.openfoodfacts.org/images/products/007/241/715/2924/front_fr.38.400.jpg;https://static.openfoodfacts.org/images/products/007/241/715/2924/front_fr.38.200.jpg;1524843220;2134.0;24.8;63.6;39.3;3.1;6.7;0.4
0072417153181;http://world-fr.openfoodfacts.org/produit/0072417153181/finger-blanc-cadbury;Finger blanc;Cadbury;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/007/241/715/3181/front_fr.6.400.jpg;https://static.openfoodfacts.org/images/products/007/241/715/3181/front_fr.6.200.jpg;1432381741;2165.0;27.9;59.7;31.0;1.9;6.1;0.6
0072417160394;http://world-fr.openfoodfacts.org/produit/0072417160394/mini-finger-l-original-cadbury;Mini Finger l'Original;Cadbury;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits au chocolat au lait;Biscuits;France;https://static.openfoodfacts.org/images/products/007/241/716/0394/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/007/241/716/0394/front_fr.8.200.jpg;1502562705;2159.0;25.3;65.1;40.0;1.5;6.9;0.5
0072417161858;http://world-fr.openfoodfacts.org/produit/0072417161858/finger-cacahuete-cadbury;Finger Cacahuète;Cadbury;;e;Biscuits au chocolat au lait;Biscuits;France;https://static.openfoodfacts.org/images/products/007/241/716/1858/front_fr.11.400.jpg;https://static.openfoodfacts.org/images/products/007/241/716/1858/front_fr.11.200.jpg;1509180338;2197.0;26.9;64.1;39.8;1.4;6.7;0.6
0077330566087;http://world-fr.openfoodfacts.org/produit/0077330566087/biscuits-a-l-avoine-et-aux-canneberges-royal-dansk;Biscuits à l'avoine et aux canneberges;Royal Dansk;;e;Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/007/733/056/6087/front_fr.7.400.jpg;https://static.openfoodfacts.org/images/products/007/733/056/6087/front_fr.7.200.jpg;1421190432;2077.0;24.0;63.0;29.0;3.0;5.6;1.09982
0077330566223;http://world-fr.openfoodfacts.org/produit/0077330566223/chocolate-chip-cookies-royal-dansk;Chocolate Chip Cookies;Royal Dansk;;e;Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/007/733/056/6223/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/007/733/056/6223/front_fr.8.200.jpg;1437409272;2030.0;24.2;63.6;36.4;3.03;6.06;0.0008470000000000001
