code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t
00099233;http://world-fr.openfoodfacts.org/produit/00099233/cheese-twists-marks-spencer;Cheese Twists;Marks & Spencer;Marks & Spencer;e;Snacks sucrés,Biscuits et gâteaux,Snacks salés,Apéritif,Biscuits,Biscuits apéritifs,Biscuits feuilletés;Biscuits;France;;;1497902705
001151;http://world-fr.openfoodfacts.org/produit/001151/mini-crepes-chocolait-bijou;Mini Crêpes ChocoLait;Bijou;Correspondance;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Crêpes et galettes,Biscuits au chocolat,Crêpes,Biscuits au chocolat au lait,Crêpes au chocolat;Biscuits;France;;;1480582546
00156738;http://world-fr.openfoodfacts.org/produit/00156738/milk-chocolate-orange-biscuits-marks-spencer;Milk Chocolate Orange Biscuits;Marks & Spencer;Marks & Spencer;e;Biscuits au chocolat au lait;Biscuits;France;;;1509041692
001664;http://world-fr.openfoodfacts.org/produit/001664/brins-de-chococaramel-bijou;Brins de ChocoCaramel;Bijou;Correspondance;e;Biscuits au chocolat au lait,Biscuits et gâteaux,Biscuits au caramel;Biscuits;France;;;1480625309
0039047004931;http://world-fr.openfoodfacts.org/produit/0039047004931/luxury-shortbread-selection-walkers;Luxury Shortbread Selection;Walkers;;e;Biscuits;Biscuits;France;;;1510220878
0039047011496;http://world-fr.openfoodfacts.org/produit/0039047011496/pure-butter-chocolate-chip-shortbread-walkers;Pure Butter Chocolate Chip Shortbread;Walkers;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/003/904/701/1496/front.9.400.jpg;http://fr.openfoodfacts.org/images/products/003/904/701/1496/front.9.200.jpg;1446034301
0039047014909;http://world-fr.openfoodfacts.org/produit/0039047014909/pure-butter-chocolate-chip-shortbread-33-free-walkers;Pure butter Chocolate Chip Shortbread (+33% free);Walkers;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/003/904/701/4909/front.5.400.jpg;http://fr.openfoodfacts.org/images/products/003/904/701/4909/front.5.200.jpg;1495200393
0039047153547;http://world-fr.openfoodfacts.org/produit/0039047153547/biscuits-a-l-avoine-aux-myrtilles-et-a-la-vanille-weight-watchers;Biscuits à l'avoine aux myrtilles et à la vanille;Weight Watchers;;b;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits diététiques;Biscuits;France;http://fr.openfoodfacts.org/images/products/003/904/715/3547/front.5.400.jpg;http://fr.openfoodfacts.org/images/products/003/904/715/3547/front.5.200.jpg;1507368584
0058089005058;http://world-fr.openfoodfacts.org/produit/0058089005058/biscuits-feuille-d-erable-erabliere-du-moulin;Biscuits Feuille d'Érable;Érabliere du Moulin;;e;Biscuits secs;Biscuits;France;;;1506633009
0065928001003;http://world-fr.openfoodfacts.org/produit/0065928001003/mini-biscuits-a-l-erable-turkey-hill;Mini-Biscuits à l'Érable;Turkey Hill;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au sirop d'Erable;Biscuits;France;;;1499858270
0072417152924;http://world-fr.openfoodfacts.org/produit/0072417152924/finger-cadbury;Finger;Cadbury;;e;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits, en:chocolate-biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/007/241/715/2924/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/007/241/715/2924/front.8.200.jpg;1509559845
0072417153181;http://world-fr.openfoodfacts.org/produit/0072417153181/finger-blanc-cadbury;Finger blanc;Cadbury;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/007/241/715/3181/front.6.400.jpg;http://fr.openfoodfacts.org/images/products/007/241/715/3181/front.6.200.jpg;1432381741
0072417160394;http://world-fr.openfoodfacts.org/produit/0072417160394/mini-finger-l-original-cadbury;Mini Finger l'Original;Cadbury;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits au chocolat au lait;Biscuits;France;;;1502562705
0072417161858;http://world-fr.openfoodfacts.org/produit/0072417161858/finger-cacahuete-cadbury;Finger Cacahuète;Cadbury;;e;Biscuits au chocolat au lait;Biscuits;France;;;1509180338
00744485;http://world-fr.openfoodfacts.org/produit/00744485/custard-creams-simply-ms;Custard creams;simply MS;;e;Biscuits-fourres,Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/00744485/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/00744485/front.8.200.jpg;1461437710
0077330566087;http://world-fr.openfoodfacts.org/produit/0077330566087/biscuits-a-l-avoine-et-aux-canneberges-royal-dansk;Biscuits à l'avoine et aux canneberges;Royal Dansk;;e;Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/007/733/056/6087/front.7.400.jpg;http://fr.openfoodfacts.org/images/products/007/733/056/6087/front.7.200.jpg;1421190432
0077330566223;http://world-fr.openfoodfacts.org/produit/0077330566223/chocolate-chip-cookies-royal-dansk;Chocolate Chip Cookies;Royal Dansk;;e;Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/007/733/056/6223/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/007/733/056/6223/front.8.200.jpg;1437409272
0209868013973;http://world-fr.openfoodfacts.org/produit/0209868013973/palmiers-leclerc;Palmiers;Leclerc;Leclerc;e;Palmiers;Biscuits;France;;;1513250670
0261450121718;http://world-fr.openfoodfacts.org/produit/0261450121718/biscuits-p-tit-dej-bio-le-moulin-du-pivert;Biscuits p'tit dej bio;Le moulin du pivert;;d;Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/026/145/012/1718/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/026/145/012/1718/front.3.200.jpg;1473801465
0615000022732;http://world-fr.openfoodfacts.org/produit/0615000022732/chocolate-picccadilly-biscuits-fortnum-mason;Chocolate Picccadilly Biscuits;Fortnum & Mason;;d;Biscuits au chocolat;Biscuits;France;;;1502723428
0652655000159;http://world-fr.openfoodfacts.org/produit/0652655000159/raspberry-white-chocolate-and-pistachio-crumbles-border-biscuits;Raspberry, White Chocolate and Pistachio Crumbles;Border Biscuits;Comptoir Irlandais;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés;Biscuits;France;;;1469050618
0652655000890;http://world-fr.openfoodfacts.org/produit/0652655000890/sable-aux-flocons-d-avoine-canneberges-yaourt-graines-de-citrouille-border;Sablé aux Flocons d'Avoine, Canneberges, Yaourt & Graines de Citrouille;Border,Border Biscuits;;d;Biscuits;Biscuits;France;;;1506365813
0654479773127;http://world-fr.openfoodfacts.org/produit/0654479773127/biscuits-pepites-de-chocolat-delaunay-leveille;Biscuits Pépites de Chocolat;Delaunay Leveillé;;e;Biscuits au chocolat;Biscuits;France;;;1511800286
